[2018-02-12T13:02:00+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-02-12T13:02:00+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-02-12T21:09:48+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-02-12T21:09:49+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-02-14T11:54:06+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-02-14T11:54:06+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2018-02-14T11:53:40+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-02-14T11:53:40+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-02-14T13:01:52+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-02-14T13:01:52+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-02-15T09:30:47+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-02-15T09:30:47+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-02-15T13:07:05+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-02-15T13:07:05+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-02-15T16:43:05+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-02-15T16:43:05+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-02-15T18:00:29+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-02-15T18:00:29+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2018-02-16T09:33:44+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-02-16T09:33:44+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-02-16T10:04:03+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-02-16T10:04:03+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2018-02-16T13:34:20+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-02-16T13:34:20+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-02-16T14:08:47+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-02-16T14:08:47+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2018-02-19T13:13:35+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-02-19T13:13:35+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-02-19T13:19:57+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-02-19T13:19:57+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2018-02-19T13:45:06+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-02-19T13:45:06+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-02-19T17:45:42+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-02-19T17:45:42+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2018-02-20T20:31:16+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-02-20T20:31:16+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-02-20T20:58:06+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-02-20T20:58:06+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-02-20T20:59:42+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-02-20T20:59:42+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2018-02-21T13:07:16+0100] DFHack 0.44.05-alpha1-0-gce1644d6 on Windows; cwd md5: 27d1c9aa05; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
